"codice_istat","denominazione_ita","cap","sigla_provincia","denominazione_provincia","denominazione_regione","lat","lon","superficie_kmq","punti_di_misura"
6106,"Montechiaro d'Acqui",15010,"AL","Alessandria","Piemonte",44.594895,8.3796355,17.392,"SMP7221au"
6109,"Morano sul Po",15025,"AL","Alessandria","Piemonte",45.1639707,8.3656328,17.5375,"SMP9892ux"
6133,"Pontestura",15027,"AL","Alessandria","Piemonte",45.1436491,8.3325439,19.1353,"SMP5476wp"
6142,"Quattordio",15028,"AL","Alessandria","Piemonte",44.8991087,8.4058724,17.8065,"SMP1213qp"
6149,"Rosignano Monferrato",15030,"AL","Alessandria","Piemonte",45.0798534,8.3990395,19.3034,"SMP7580ft"
6167,"Stazzano",15060,"AL","Alessandria","Piemonte",44.7272068,8.8672666,18.2208,"SMP7698eo"
6179,"Vignale Monferrato",15049,"AL","Alessandria","Piemonte",45.0109205,8.3965957,18.223,"SMP3471mn"
6181,"Viguzzolo",15058,"AL","Alessandria","Piemonte",44.9052324,8.9194878,18.2717,"SMP2640sh"
6011,"Balzola",15031,"AL","Alessandria","Piemonte",45.1831799,8.4024938,16.942,"SMP9121lb"
6012,"Basaluzzo",15060,"AL","Alessandria","Piemonte",44.7682613,8.7058986,15.0979,"SMP6674kr"
6036,"Cartosio",15015,"AL","Alessandria","Piemonte",44.5911636,8.4185599,16.5109,"SMP5258je"
6113,"Murisengo",15020,"AL","Alessandria","Piemonte",45.0835082,8.137132,15.375,"SMP6339qr"
6116,"Odalengo Grande",15020,"AL","Alessandria","Piemonte",45.1095002,8.1667229,15.2056,"SMP8361zi"
6123,"Ozzano Monferrato",15039,"AL","Alessandria","Piemonte",45.1018088,8.3762616,15.132,"SMP0411fh"
6147,"Rocca Grimalda",15078,"AL","Alessandria","Piemonte",44.6710637,8.6471857,15.4441,"SMP5866eu"
6160,"Serravalle Scrivia",15069,"AL","Alessandria","Piemonte",44.7193252,8.8583485,15.9601,"SMP0427ax"
6168,"Strevi",15019,"AL","Alessandria","Piemonte",44.6986978,8.5224348,15.1015,"SMP1201cq"
6185,"Villanova Monferrato",15030,"AL","Alessandria","Piemonte",45.181795,8.4785868,16.7386,"SMP9742es"
6191,"Cassano Spinola",15063,"AL","Alessandria","Piemonte",44.7661671,8.863215,16.9862,"SMP3668ov"
6004,"Alfiano Natta",15021,"AL","Alessandria","Piemonte",45.0471599,8.2084235,13.0718,"SMP5348gs"
6015,"Bergamasco",15022,"AL","Alessandria","Piemonte",44.8271697,8.4552974,13.4729,"SMP9590hl"
6033,"Carpeneto",15071,"AL","Alessandria","Piemonte",44.6772066,8.6062337,13.3606,"SMP3903cm"
6040,"Casalnoceto",15052,"AL","Alessandria","Piemonte",44.9131294,8.9819561,12.7328,"SMP7724qu"
6049,"Castelletto d'Orba",15060,"AL","Alessandria","Piemonte",44.6857757,8.7024214,14.0157,"SMP4047qo"
6052,"Castelnuovo Bormida",15017,"AL","Alessandria","Piemonte",44.7436715,8.5462287,13.2364,"SMP1456ro"
6063,"Cremolino",15010,"AL","Alessandria","Piemonte",44.6374253,8.5857098,14.4701,"SMP5934fa"
6088,"Lerma",15070,"AL","Alessandria","Piemonte",44.634979,8.7125102,14.542,"SMP4042yq"
6094,"Mirabello Monferrato",15040,"AL","Alessandria","Piemonte",45.0357373,8.5233843,13.2519,"SMP3976kf"
6111,"Mornese",15075,"AL","Alessandria","Piemonte",44.6408489,8.7556999,13.2468,"SMP1349ju"
6120,"Ottiglio",15038,"AL","Alessandria","Piemonte",45.0518549,8.3391379,14.3991,"SMP4599xl"
6131,"Pomaro Monferrato",15040,"AL","Alessandria","Piemonte",45.0638948,8.5951931,13.3491,"SMP8882rz"
